com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
SAVAS T KYRIAKIDIS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00490052,Q1,H,P,Q,PO BOX 25431,CHATTANOOGA,TN,37422,CAROLYN (CARRIE) ELIZABETH PHELPS,C00490052,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-$635.25,-$635.25,"$98,222.97",,2015-01-01,2015-03-31,,H0TN03403,,,,,,,,,,,,,,,,,,,,,
SAVAS T KYRIAKIDIS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00490052,Q2,H,P,Q,PO BOX 25431,CHATTANOOGA,TN,37422,CAROLYN (CARRIE) ELIZABETH PHELPS,C00490052,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-$635.25,-$635.25,"$98,222.97",,2015-04-01,2015-06-30,,H0TN03403,,,,,,,,,,,,,,,,,,,,,
SCALISE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00394957,Q1,H,P,Q,PO  BOX 23219,JEFFERSON,LA,701833219,"VANDERBROOK, WILLIAM",C00394957,2016,"$93,500.00","$1,800.00","$95,300.00",,,"$29,540.00",,,"$124,840.00",,,,,,,,"$361,470.22",,,,$281.90,"$488,923.07",,"$304,552.48",,,,"$2,330.95",,,,,,,,,,,,,,,,,,,"$304,552.48","$124,840.00","$302,221.53","$482,793.91","$667,164.50",,,2015-01-01,2015-03-31,,H0LA01087,,,,,,,,,,,,,,,,,,,,,
SCALISE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00394957,Q2,H,P,Q,PO  BOX 23219,JEFFERSON,LA,701833219,"VANDERBROOK, WILLIAM",C00394957,2016,"$84,100.00","$1,415.00","$85,515.00",,,"$58,110.00",,,"$143,625.00",,,,,,,,"$509,084.95",,,,$13.80,"$653,493.75",,"$309,715.48",,,,$770.00,,,,,,,,,,,"$150,000.00",,,,,,,,"$459,715.48","$143,625.00","$308,945.48","$667,164.50","$860,942.77",,,2015-04-01,2015-06-30,,H0LA01087,,,,,,,,,,,,,,,,,,,,,
SCHAKOWSKY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00327023,Q1,H,P,Q,P.O. BOX 5130,EVANSTON,IL,60204,"COHEN, MELANIE ROVNER",C00327023,2016,"$159,600.00","$15,903.38","$175,503.38",$12.66,,"$32,000.00",,,"$207,503.38",$12.66,,,,,,,,,,,"$9,930.84","$217,834.22",,"$82,541.64",,,,$400.00,,,,,,,,,,,,,,,,,"$54,151.00",,"$136,705.30","$207,490.72","$82,141.64","$280,530.98","$361,659.90",,,2015-01-01,2015-03-31,,H8IL09067,,,,,,,,,,,,,,,,,,,,,
SCHAKOWSKY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00327023,Q2,H,P,Q,P.O. BOX 5130,EVANSTON,IL,60204,"COHEN, MELANIE ROVNER",C00327023,2016,"$135,640.00","$58,496.09","$194,136.09","$2,011.00",$500.00,"$34,700.00",$500.00,,"$229,336.09","$2,511.00",,,,,,,,,,,$116.85,"$230,287.34",,"$189,771.79",,,,$834.40,,,,,,,,,,,,,,,,,"$41,822.00",,"$234,104.79","$226,825.09","$188,937.39","$361,659.90","$357,842.45",,,2015-04-01,2015-06-30,,H8IL09067,,,,,,,,,,,,,,,,,,,,,
SCHATZ FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00540732,Q1,S,P,Q,PO BOX 3828,HONOLULU,HI,96812,KEITH AMEMIYA,C00540732,2016,"$553,985.00","$25,542.00","$579,527.00","$3,420.00",,"$204,692.00",,,"$784,219.00","$3,420.00",,,,,,,"$2,615.00",,,,,"$800,638.00",,"$201,550.00",,,,"$13,804.00",,,,,,,,,,,,,,,,,"$1,500.00",,"$206,470.00","$780,798.00","$187,746.00","$953,877.00","$1,548,045.00",,,2015-01-01,2015-03-31,,S4HI00136,,,,,,,,,,,,,,,,,,,,,
SCHATZ FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00540732,Q2,S,P,Q,PO BOX 3828,HONOLULU,HI,96812,KEITH AMEMIYA,C00540732,2016,"$379,757.00","$21,674.00","$401,432.00","$6,762.00",,"$248,832.00",$500.00,,"$650,264.00","$7,262.00",,,,,,,"$12,820.00",,,,,"$663,084.00",,"$191,543.00",,,,,,,,,,,,,,,,,,,,,"$7,018.00",,"$205,824.00","$643,001.00","$191,543.00","$1,548,045.00","$2,005,305.00",,,2015-04-01,2015-06-30,,S4HI00136,,,,,,,,,,,,,,,,,,,,,
SCHERTZING FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562629,TER,H,P,Q,236 KEDZIE STREET,EAST LANSING,MI,488234534,MARY RUTTAN,C00562629,2016,,,,$5.00,,,,,,$5.00,,,,,,,,,,,,"$2,808.66",,"$2,302.53",,,,"$2,808.66",,,,,,,,,,,,,,,,,"$1,226.41",,"$3,533.94",-$5.00,-$506.13,$725.28,,,,2015-01-01,2015-02-24,,H4MI05149,,,,,,,,,,,,,,,,,,,,,
SCHERTZING FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562629,TER,H,P,Q,236 KEDZIE STREET,EAST LANSING,MI,488234534,MARY RUTTAN,C00562629,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-25,2015-03-31,,H4MI05149,,,,,,,,,,,,,,,,,,,,,
SCHERTZING FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562629,TER,H,P,Q,236 KEDZIE STREET,EAST LANSING,MI,488234534,MARY RUTTAN,C00562629,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H4MI05149,,,,,,,,,,,,,,,,,,,,,
SCHIFF FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00343871,Q1,H,P,Q,"777 S. FIGUEROA ST., STE. 4050",LOS ANGELES,CA,90017,"KAUFMAN, STEPHEN",C00343871,2016,"$76,950.00","$2,185.00","$79,135.00",,,"$23,270.00",,,"$102,405.00",,,,,,,,,,,,"$1,980.57","$104,385.57",,"$59,632.88",,,,,,,,,,,,,,,,,,,,,"$52,500.00",,"$112,132.88","$102,405.00","$59,632.88","$2,104,594.56","$2,096,847.25","$3,616.15",,2015-01-01,2015-03-31,,H0CA27085,,,,,,,,,,,,,,,,,,,,,
SCHIFF FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00343871,Q2,H,P,Q,"777 S. FIGUEROA ST., STE. 4050",LOS ANGELES,CA,90017,"KAUFMAN, STEPHEN",C00343871,2016,"$52,600.00","$1,682.33","$54,282.33",,,"$35,500.00",,,"$89,782.33",,,,,,,,,,,,"$1,600.40","$92,770.74",,"$87,996.58",,,,"$1,388.01",,,,,,,,,,,,,,,,,"$28,220.95",,"$116,217.53","$89,782.33","$86,608.57","$2,096,847.25","$2,073,400.46",,,2015-04-01,2015-06-30,,H0CA27085,,,,,,,,,,,,,,,,,,,,,
SCHMIDT FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00410647,Q1,H,P,Q,771 WARDS CORNER RD,LOVELAND,OH,45140,"SCHMIDT, PETER",C00410647,2016,,,,,,,,,,,,,,,,,,,,,,,,$400.00,,,,,,,,,,,,,,,,,,,,,,,$400.00,,$400.00,"$2,913.52","$2,513.52",,,2015-01-01,2015-03-31,,H6OH02086,,,,,,,,,,,,,,,,,,,,,
SCHMIDT FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00410647,Q2,H,P,Q,771 WARDS CORNER RD,LOVELAND,OH,45140,"SCHMIDT, PETER",C00410647,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,513.52","$2,513.52",,,2015-04-01,2015-06-30,,H6OH02086,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00374751,Q1,H,A,Q,487 MEADOWLARK DRIVE,SARASOTA,FL,34236,HAROLD  SCHNEIDER MR.,C00374751,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,$25.00,"$37,612.89",,2015-01-01,2015-03-31,,H2FL13139,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00374751,Q2,H,A,Q,487 MEADOWLARK DRIVE,SARASOTA,FL,34236,HAROLD  SCHNEIDER MR.,C00374751,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$25.00,$25.00,"$37,612.89",,2015-04-01,2015-06-30,,H2FL13139,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00495952,Q1,H,P,Q,PO BOX 1318,DEERFIELD,IL,60015,"LEVY, MARK A",C00495952,2016,,,,,,,,,,,"$5,000.00",,,,"$5,000.00",,,,,,$.63,"$5,125.38",,"$6,618.38",,,,$124.75,,,,,,,,,,,,,,,,,,,"$6,618.38",,"$6,493.63","$2,467.29",$974.29,"$11,937.50",,2015-01-01,2015-03-31,,H2IL10068,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00495952,Q2,H,P,Q,PO BOX 1318,DEERFIELD,IL,60015,"LEVY, MARK A",C00495952,2016,"$447,399.80","$110,582.39","$557,982.19","$8,696.96",,"$65,950.00",,,"$623,932.19","$8,696.96",,,,,,,,,,,$17.03,"$624,046.09",,"$133,489.33",,,,$96.87,,,,,,,,,,,,,,,,,,,"$142,186.29","$615,235.23","$133,392.46",$974.29,"$482,834.09","$11,500.00",,2015-04-01,2015-06-30,,H2IL10068,,,,,,,,,,,,,,,,,,,,,
SCHOCK FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00437756,Q1,H,P,Q,PO BOX 10555,PEORIA,IL,61612,"KILGORE, PAUL MR.",C00437756,2016,"$65,950.00","$10,315.00","$76,265.00","$5,100.00",,"$53,573.64",,,"$129,838.64","$5,100.00",,,,,,,"$33,882.71",,,,"$1,971.27","$166,005.29",,"$214,032.98",,,,$312.67,,,,,,,,,,,$250.00,,,,,,"$16,000.00",,"$235,382.98","$124,738.64","$213,720.31","$3,290,781.68","$3,221,403.99","$313,919.95",,2015-01-01,2015-03-31,,H8IL18043,,,,,,,,,,,,,,,,,,,,,
SCHOCK FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00437756,Q2,H,P,Q,PO BOX 10555,PEORIA,IL,61612,"KILGORE, PAUL MR.",C00437756,2016,,,,"$53,825.00",,,"$6,000.00",,,"$59,825.00",,,,,,,,,,,"$62,191.32","$89,351.10",,"$1,140,314.18",,,,"$27,159.78",,,,,,,,,,,,,,,,,-$100.00,,"$1,200,039.18","-$59,825.00","$1,113,154.40","$3,221,403.99","$2,110,715.91","$746,985.45",,2015-04-01,2015-06-30,,H8IL18043,,,,,,,,,,,,,,,,,,,,,
SCHULTZ FOR IOWA,http://images.nictusa.com/cgi-bin/fecimg/?C00556001,Q1,H,P,Q,2912 WOODLAND AVE,TRURO,IA,50257,"OVERHOLTZER, DAVID",C00556001,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-$295.60,-$295.60,"$2,123.62",,2015-01-01,2015-03-31,,H4IA03081,,,,,,,,,,,,,,,,,,,,,
SCHULTZ FOR IOWA,http://images.nictusa.com/cgi-bin/fecimg/?C00556001,Q2,H,P,Q,2912 WOODLAND AVE,TRURO,IA,50257,"OVERHOLTZER, DAVID",C00556001,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-$295.60,-$295.60,"$2,123.62",,2015-04-01,2015-06-30,,H4IA03081,,,,,,,,,,,,,,,,,,,,,
SCHURING FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00435685,Q1,H,P,Q,330 THIRD ST NW,CANTON,OH,44702,"SCHERVISH, THOMAS",C00435685,2016,,,,,,,,,,,,,,,,,,,,,,,,$.06,,,,,,,,,,,,,,,,,,,,,,,$.06,,$.06,"$2,617.53","$2,617.47","$58,178.28",,2015-01-01,2015-03-31,,H8OH16066,,,,,,,,,,,,,,,,,,,,,
SCHURING FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00435685,Q2,H,P,Q,330 THIRD ST NW,CANTON,OH,44702,"SCHERVISH, THOMAS",C00435685,2016,,,,,,,,,,,,,,,,,,,,,,,,$.06,,,,,,,,,,,,,,,,,,,,,,,$.06,,$.06,"$2,617.47","$2,617.41","$58,178.28",,2015-04-01,2015-06-30,,H8OH16066,,,,,,,,,,,,,,,,,,,,,
SCOLAVINO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00560631,Q1,H,P,Q,21 JOYSAN TERR,FREEHOLD,NJ,7728,CRISTINA M CARDOSO,C00560631,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,578.00","$3,578.00","$1,000.45",,2015-01-01,2015-03-31,,H4NJ04120,,,,,,,,,,,,,,,,,,,,,
SCOLAVINO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00560631,Q2,H,P,Q,21 JOYSAN TERR,FREEHOLD,NJ,7728,CRISTINA M CARDOSO,C00560631,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,578.00","$3,578.00","$1,000.45",,2015-04-01,2015-06-30,,H4NJ04120,,,,,,,,,,,,,,,,,,,,,
SCOTT BEASON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00510735,Q1,H,P,Q,1689 QUAIL RIDGE DRIVE,GARDENDALE,AL,35071,LORI BEASON,C00510735,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$917.79,$917.79,"$3,480.00",,2015-01-01,2015-03-31,,H2AL06126,,,,,,,,,,,,,,,,,,,,,
SCOTT BEASON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00510735,Q2,H,P,Q,1689 QUAIL RIDGE DRIVE,GARDENDALE,AL,35071,LORI BEASON,C00510735,2016,,,,,,,,,,,,,,,,,,,,,,,,"$3,045.13",,,,,,,,,,,,,,,,,,,,,,,"$3,045.13",,"$3,045.13",$917.79,"-$2,127.34","$3,480.00",,2015-04-01,2015-06-30,,H2AL06126,,,,,,,,,,,,,,,,,,,,,
SCOTT BRION FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00557694,Q1,H,P,Q,886 LAUREL HILL ROAD,LIBERTY,PA,16930,ERIC J LOUDENSLAGER,C00557694,2016,,,,,,,,,,,,,,,,,,,,,,,,$70.91,,,,,,,,,,,,,,,,,,,,,,,$70.91,,$70.91,"$2,535.85","$2,464.94",$239.00,,2015-01-01,2015-03-31,,H4PA10054,,,,,,,,,,,,,,,,,,,,,
SCOTT BRION FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00557694,Q2,H,P,Q,886 LAUREL HILL ROAD,LIBERTY,PA,16930,ERIC J LOUDENSLAGER,C00557694,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H4PA10054,,,,,,,,,,,,,,,,,,,,,
SCOTT FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00256925,Q1,H,P,Q,POST OFFICE BOX 251,NEWPORT NEWS,VA,23607,"WILLIAMSON, SEAN M",C00256925,2016,"$8,067.17",$100.00,"$8,167.17",,,"$31,250.00",,,"$39,417.17",,,,,,,,,,,,,"$39,417.17",,"$58,298.76",,,,,,,,,,,,,,,,,,,,,"$10,000.00",,"$68,298.76","$39,417.17","$58,298.76","$99,952.54","$71,070.95","$3,191.43",,2015-01-01,2015-03-31,,H6VA01117,,,,,,,,,,,,,,,,,,,,,
SCOTT FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00256925,Q2,H,P,Q,POST OFFICE BOX 251,NEWPORT NEWS,VA,23607,"WILLIAMSON, SEAN M",C00256925,2016,"$15,650.00","$5,111.16","$20,761.16",$38.46,,"$52,250.00",,,"$73,011.16",$38.46,,,,,,,,,,,,"$73,011.16",,"$48,245.05",,,,,,,,,,,,,,,,,,,,,"$5,000.00",,"$53,283.51","$72,972.70","$48,245.05","$71,070.95","$90,798.60","$3,191.43",,2015-04-01,2015-06-30,,H6VA01117,,,,,,,,,,,,,,,,,,,,,
SCOTT GARRETT FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00386110,Q1,H,P,Q,P.O. BOX 905,NEWTON,NJ,7860,"KILGORE, PAUL MR.",C00386110,2016,"$68,250.00","$12,565.33","$80,815.33","$1,400.00",,"$61,840.00",,,"$142,655.33","$1,400.00",,,,,,,,,,,"$1,783.58","$159,198.88",,"$91,085.73",,,,"$14,759.97",,,,,,,,,,,,,,,,,"$2,500.00",,"$94,985.73","$141,255.33","$76,325.76","$1,981,421.90","$2,045,635.05",,,2015-01-01,2015-03-31,,H8NJ05052,,,,,,,,,,,,,,,,,,,,,
SCOTT GARRETT FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00386110,Q2,H,P,Q,P.O. BOX 905,NEWTON,NJ,7860,"KILGORE, PAUL MR.",C00386110,2016,"$72,225.00","$11,905.00","$84,130.00",$250.00,,"$140,325.00",,,"$224,455.00",$250.00,,,,,,,,,,,"$1,593.24","$226,048.24",,"$77,846.32",,,,,,,,,,,,,,,,,,,,,,,"$78,096.32","$224,205.00","$77,846.32","$2,045,635.05","$2,193,586.97",,,2015-04-01,2015-06-30,,H8NJ05052,,,,,,,,,,,,,,,,,,,,,
SCOTT MURPHY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00458893,Q1,H,P,Q,PO BOX 15320,WASHINGTON,DC,20003,"FRANCK, JOHN PAUL",C00458893,2016,,,,,,,,,,,,,,,,,,,,,$1.79,$1.79,,$200.00,,,,,,,,,,,,,,,,,,,,,,,$200.00,,$200.00,"$22,670.39","$22,472.18",,,2015-01-01,2015-03-31,,H0NY20079,,,,,,,,,,,,,,,,,,,,,
SCOTT MURPHY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00458893,Q2,H,P,Q,PO BOX 15320,WASHINGTON,DC,20003,"FRANCK, JOHN PAUL",C00458893,2016,,,,,,,,,,,,,,,,,,,,,$3.45,$3.45,,,,,,,,,,,,,,,,,,,,,,,$150.00,,$150.00,,,"$22,472.18","$22,325.63",,,2015-04-01,2015-06-30,,H0NY20079,,,,,,,,,,,,,,,,,,,,,
SCOTT PETERS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00503110,Q1,H,P,Q,PO BOX 75357,WASHINGTON,DC,20002,"FEMIA, NICHOLAS R",C00503110,2016,"$124,701.86","$31,137.25","$155,839.11","$1,275.00",$483.21,"$199,890.00",,"$13,276.02","$369,488.34","$1,275.00",,,,,,,,,,,$4.61,"$378,018.84",,"$101,797.47",,,,"$8,525.89",,,,,,,,,,,,,,,,,,,"$103,072.47","$368,213.34","$93,271.58","$68,698.73","$343,645.10","$250,000.00",,2015-01-01,2015-03-31,,H2CA52089,,,,,,,,,,,,,,,,,,,,,
SCOTT PETERS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00503110,Q2,H,P,Q,PO BOX 75357,WASHINGTON,DC,20002,"FEMIA, NICHOLAS R",C00503110,2016,"$191,517.44","$38,062.88","$229,580.32","$5,343.16",$900.28,"$224,990.00",,"$19,386.55","$474,857.15","$5,343.16",,,,,,,,,,,$136.72,"$504,193.58",,"$101,575.98",,,,"$29,199.71",,,,,,,,,,,,,,,,,,,"$106,919.14","$469,513.99","$72,376.27","$343,645.10","$740,919.54","$250,000.00",,2015-04-01,2015-06-30,,H2CA52089,,,,,,,,,,,,,,,,,,,,,
SCOTT RIGELL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00463687,Q1,H,P,Q,915 FIRST COLONIAL ROAD SUITE 100,VIRGINIA BEACH,VA,23454,"WOOD JR., JOSEPH B. MR.",C00463687,2016,"$153,650.00","$1,234.00","$154,884.00",$495.00,,"$36,500.00",,,"$191,384.00",$495.00,,,,,,,"$34,463.69",,,,,"$226,223.30",,"$65,417.20",,,,$375.61,,,,,,,,,,,,,,,,,"$17,700.00",,"$83,612.20","$190,889.00","$65,041.59","$162,976.77","$305,587.87","$549,500.00",,2015-01-01,2015-03-31,,H0VA02084,,,,,,,,,,,,,,,,,,,,,
SCOTT RIGELL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00463687,Q2,H,P,Q,915 FIRST COLONIAL ROAD SUITE 100,VIRGINIA BEACH,VA,23454,"WOOD JR., JOSEPH B. MR.",C00463687,2016,"$187,323.00","$26,399.00","$213,722.00","-$2,650.00",,"$69,505.00","$1,000.00",,"$283,227.00","-$1,650.00",,,,,,,,,,,,"$283,382.20",,"$96,825.97",,,,$155.20,,,,,,,,,,,,,,,,,"$80,395.00",,"$175,570.97","$284,877.00","$96,670.77","$305,587.87","$413,399.10","$549,500.00",,2015-04-01,2015-06-30,,H0VA02084,,,,,,,,,,,,,,,,,,,,,
SEAN ELDRIDGE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00541227,Q1,H,P,Q,PO BOX 4113,KINGSTON,NY,12402,"OATES, MICHAEL",C00541227,2016,,,,,,,,,,,,,,,,,,,,,"$1,134.83","$8,290.42",,"$7,055.44",,,,"$7,155.59",,,,,,,,,,,,,,,,,,,"$7,055.44",,-$100.15,"$64,559.23","$65,794.21",,,2015-01-01,2015-03-31,,H4NY19115,,,,,,,,,,,,,,,,,,,,,
SEAN ELDRIDGE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00541227,Q2,H,P,Q,PO BOX 4113,KINGSTON,NY,12402,"OATES, MICHAEL",C00541227,2016,,,,"$2,502.10",,,,,,"$2,502.10",,,,,,,,,,,,,,"$4,467.70",,,,,,,,,,,,,,,,,,,,,,,"$6,969.80","-$2,502.10","$4,467.70","$65,794.21","$58,824.41",,,2015-04-01,2015-06-30,,H4NY19115,,,,,,,,,,,,,,,,,,,,,
SEAN PATRICK MALONEY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00512426,Q1,H,P,Q,PO BOX 270,NEWBURGH,NY,12550,"GIARRAPUTO, HOLLY",C00512426,2016,"$438,487.37","$6,068.02","$444,555.39",$30.79,$483.21,"$164,900.00","$1,500.00",,"$609,938.60","$1,530.79",,,,,,,,,,,$3.37,"$609,941.97",,"$124,952.83",,,,,,,,,,,,,,,,,,,,,,,"$126,483.62","$608,407.81","$124,952.83","$105,742.61","$589,200.96","$1,255.06",,2015-01-01,2015-03-31,,H2NY22139,,,,,,,,,,,,,,,,,,,,,
SEAN PATRICK MALONEY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00512426,Q2,H,P,Q,PO BOX 270,NEWBURGH,NY,12550,"GIARRAPUTO, HOLLY",C00512426,2016,"$363,513.55","$14,137.53","$377,651.08","$2,710.80",$58.56,"$131,500.00",,,"$509,209.64","$2,710.80",,,,,,,,,,,$13.24,"$533,111.25",,"$244,688.44",,,,"$23,888.37",,,,,,,,,,,,,,,,,$50.00,,"$247,449.24","$506,498.84","$220,800.07","$589,200.96","$874,862.97","$1,255.06",,2015-04-01,2015-06-30,,H2NY22139,,,,,,,,,,,,,,,,,,,,,
SEAN SEIBERT FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00521179,Q1,H,P,T,PO BOX 31758,HOUSTON,TX,77231,WADE DINWIDDLIE,C00521179,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,2015-03-31,,H2TX18140,,,,,,,,,,,,,,,,,,,,,
SEND LARA TO CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00558312,Q1,H,P,Q,14545 ENGLISH ROAD,MIAMI LAKES,FL,33014,BRIAN LARA,C00558312,2016,,,,,,,,$14.85,$14.85,,,,,,,,,,,,,$14.85,,$474.85,,,,,,,,,,,,,,,,,,,,,,,$474.85,$14.85,$474.85,"$5,083.75","$4,623.75","$66,000.00",,2015-01-01,2015-03-31,,H4FL18100,,,,,,,,,,,,,,,,,,,,,
SEND LARA TO CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00558312,Q2,H,P,Q,14545 ENGLISH ROAD,MIAMI LAKES,FL,33014,BRIAN LARA,C00558312,2016,,,,,,,,$14.85,$14.85,,,,,,,,,,,,,$14.85,,$14.85,,,,,,,,,,,,,,,,,,,,,,,$14.85,$14.85,$14.85,"$4,623.75","$4,623.75","$66,000.00",,2015-04-01,2015-06-30,,H4FL18100,,,,,,,,,,,,,,,,,,,,,
SENGER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00544734,TER,H,P,T,PO BOX 4883,NAPERVILLE,IL,60567,"KILGORE, PAUL",C00544734,2016,,,,,,,,,,,,"$1,000.00",,,,"$1,000.00",,,,,,,,"$3,457.42",,,,,,,,,,,,,,,,,,,,,,,"$4,457.42",,"$3,457.42","$4,457.42",,,,2015-01-01,2015-01-27,,H4IL11195,,,,,,,,,,,,,,,,,,,,,
